Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
1.036181353767560722e+02,9.474584929757342877e+01,1.882385616312361565e+00
1.043154533844189018e+02,9.566028097062579150e+01,1.895122288622148155e+00
1.046775223499361402e+02,9.560600255427841887e+01,1.880945606861634367e+00
1.049214559386973207e+02,9.585376756066411019e+01,1.886842127334567909e+00
1.050006385696040923e+02,9.556194125159642283e+01,1.867420552153476798e+00
1.054846743295019138e+02,9.627203065134099802e+01,1.893425094962620125e+00
1.053422733077905491e+02,9.619029374201788585e+01,1.897952896288423119e+00
1.061085568326947595e+02,9.677075351213282772e+01,1.886231609285858202e+00
1.062401021711366553e+02,9.676117496807151497e+01,1.890654705085045517e+00
1.063805874840357575e+02,9.679310344827585766e+01,1.889397055206653242e+00
1.065625798212005151e+02,9.687164750957853698e+01,1.878863440931921591e+00
1.065925925925925952e+02,9.714878671775223040e+01,1.895715035353110034e+00
1.071245210727969379e+02,9.840996168582375958e+01,1.944788678641153012e+00
1.065734355044699839e+02,9.733014048531289575e+01,1.895130268645685456e+00
1.073550446998722805e+02,9.804533844189016634e+01,1.890497372645190799e+00
1.067911877394635951e+02,9.819923371647509214e+01,1.946513050564915526e+00
1.076519795657726632e+02,9.886781609195402609e+01,1.904425409491143695e+00
1.070236270753512144e+02,9.839016602809705603e+01,1.938274462710246615e+00
1.071213282247765051e+02,9.801596424010216424e+01,1.874979731900499491e+00
1.081040868454661563e+02,9.892656449553001607e+01,1.878932660458270121e+00
1.076698595146871043e+02,9.874521072796935073e+01,1.901832747035295812e+00
1.071794380587484028e+02,9.775095785440612417e+01,1.875725297732509400e+00
1.073275862068965552e+02,9.785951468710089785e+01,1.858074957775061264e+00
1.065836526181353747e+02,9.745019157088123052e+01,1.922655918030915512e+00
1.061915708812260561e+02,9.722158365261813628e+01,1.941404133244871932e+00
1.070338441890166052e+02,9.807790549169860128e+01,1.913920388312716270e+00
1.064680715197956573e+02,9.732758620689655515e+01,1.917538250657167875e+00
1.059220272904483409e+02,9.688044184535412739e+01,1.952090063730070657e+00
1.063066926575698545e+02,9.713385315139700538e+01,1.897309877276708079e+00
1.058382066276803073e+02,9.628135152696556531e+01,1.880689707618045325e+00
1.050038986354775830e+02,9.597335932423651172e+01,1.937565979579818132e+00
1.053040935672514564e+02,9.601364522417154035e+01,1.918781136685937971e+00
1.053931124106562720e+02,9.575958414554905573e+01,1.876590680105349129e+00
1.048349577647823310e+02,9.529499675113710566e+01,1.878802077741565490e+00
1.038856400259909094e+02,9.431319038336582139e+01,1.898716437818436242e+00
1.044385964912280684e+02,9.509486679662117581e+01,1.872217925801990202e+00
1.033807667316439307e+02,9.504938271604937938e+01,1.938747818763491892e+00
1.039012345679012412e+02,9.497076023391812782e+01,1.890844362226241415e+00
1.040123456790123413e+02,9.509876543209875877e+01,1.890482140971362579e+00
1.032313190383365793e+02,9.436322287199480741e+01,1.892170763417763357e+00
1.029798570500324928e+02,9.408382066276803357e+01,1.921926131659968728e+00
1.032059779077322901e+02,9.393242365172189068e+01,1.874424126328510409e+00
1.030422352176738201e+02,9.391098115659519863e+01,1.876965080823860932e+00
1.024424951267056514e+02,9.345484080571799268e+01,1.916767101069525747e+00
1.024704353476283245e+02,9.354580896686159974e+01,1.889061169386951011e+00
1.022768031189083757e+02,9.309811565951916634e+01,1.882291475009524540e+00
1.024808317089018885e+02,9.331773879142299677e+01,1.876760030764637710e+00
1.021377517868745883e+02,9.375958414554905573e+01,1.942665577538449817e+00
1.020363872644574457e+02,9.259909031838856208e+01,1.871015581072906553e+00
1.021007147498375502e+02,9.283755685510071487e+01,1.866370149299853898e+00
1.017543859649122737e+02,9.259389213775178007e+01,1.915471641452601403e+00
1.013053931124106555e+02,9.180441845354125974e+01,1.901056986925771186e+00
1.015113710201429456e+02,9.227550357374919088e+01,1.907568258498905767e+00
1.018284600389863499e+02,9.212800519818063094e+01,1.901824809461480470e+00
1.018596491228070136e+02,9.241000649772580289e+01,1.895325446665952818e+00
1.020818713450292421e+02,9.242690058479531956e+01,1.862359587841944331e+00
1.023554256010396415e+02,9.286289798570500409e+01,1.863944785853244301e+00
1.020519818063677775e+02,9.311695906432748870e+01,1.918495160180869075e+00
1.022774528914879824e+02,9.274658869395712202e+01,1.858206741184110111e+00
1.024814814814814810e+02,9.339636127355426254e+01,1.887288943293136789e+00
1.024080571799870114e+02,9.361923326835606929e+01,1.894867092674971332e+00
1.020110461338531564e+02,9.327095516569200129e+01,1.927727844296748927e+00
1.024743339831059075e+02,9.366341780376868087e+01,1.893375249905814961e+00
1.019454191033138386e+02,9.292007797270954939e+01,1.917586140358146007e+00
1.019736842105263150e+02,9.262213225371120018e+01,1.906445073865249640e+00
1.017267206477732771e+02,9.293994601889339435e+01,1.904345916951045714e+00
